"","Null_sample_size","Median_distance_huanan_null","Median_distance_all_removed","p-value_all_removed","Median_distance_unlinked_removed","p-value_unlinked_removed"
"1",155,16.1054044440145,4.2806304360529,0,NA,NA
"2",154,16.0539776749481,4.39179792487021,0,NA,NA
"3",153,16.1574653461566,4.50296541368752,0,NA,NA
"4",152,16.0456247180888,4.50690067026362,0,NA,NA
"5",151,16.1726025939213,4.51083592683971,0,NA,NA
"6",150,16.1350452451522,4.5929467962172,0,NA,NA
"7",149,16.222301113682,4.67505766559469,0,NA,NA
"8",148,16.11246200474,4.72892699058938,0,NA,NA
"9",147,16.140294563386,4.78279631558406,0,NA,NA
"10",146,16.192632884264,4.84135598541084,0,NA,NA
"11",145,16.1757395464413,4.89991565523762,0,NA,NA
"12",144,16.1410270132624,4.9125421385,0,NA,NA
"13",143,16.0764980624407,4.92516862176238,0,NA,NA
"14",142,16.1062873595945,4.96812185393554,0,NA,NA
"15",141,16.0881508475766,5.01107508610869,0,NA,NA
"16",140,16.0902595282993,5.02559340384987,0,NA,NA
"17",139,16.135454502038,5.04011172159105,0,NA,NA
"18",138,16.1062505904711,5.12864197352112,0,NA,NA
"19",137,16.1430898851474,5.21717222545119,0,NA,NA
"20",136,16.1652903357196,5.23108202077643,0,NA,NA
"21",135,16.0158234971193,5.24499181610168,0,NA,NA
"22",134,16.053864016868,5.26362544013431,0,NA,NA
"23",133,16.1530790501653,5.28225906416695,0,NA,NA
"24",132,16.190122637995,5.2897895099486,0,NA,NA
"25",131,16.0803423372965,5.29731995573025,0,NA,NA
"26",130,15.9590521143504,5.37588254763614,0,NA,NA
"27",129,16.2133731202671,5.45444513954203,0,NA,NA
"28",128,16.1462037827301,5.54144726990833,0,NA,NA
"29",127,16.1528050631068,5.62844940027463,0,NA,NA
"30",126,16.0710941744979,5.64507153337258,0,NA,NA
"31",125,16.1758406636129,5.66169366647054,0,NA,NA
"32",124,16.1362625581105,5.7040098955104,0,NA,NA
"33",123,16.2384871095912,5.74632612455025,0,NA,NA
"34",122,16.1279613185909,5.88805289845707,0,NA,NA
"35",121,16.0590370218433,6.02977967236388,0,NA,0
"36",120,16.0831684890856,6.102790150153,0,4.00567564980301,0
"37",119,16.0371916879849,6.17580062794212,0,4.0392316686916,0
"38",118,16.1010340987,6.18883379264374,0,4.06841832128978,0
"39",117,16.1001534006636,6.20186695734537,0,4.09760497388797,0
"40",116,16.0766367597265,6.24932787425428,0,4.11813994481823,0
"41",115,16.1426282532455,6.2967887911632,0,4.13867491574849,0
"42",114,16.1476874210323,6.31057873105739,0,4.20631629021851,0
"43",113,15.9354531749266,6.32436867095158,0,4.27395766468853,0
"44",112,16.1470269894992,6.40227769686153,0,4.27729405037072,0
"45",111,15.9722368877141,6.48018672277148,0,4.2806304360529,0
"46",110,16.0923358979399,6.63438218654237,0,4.39179792487021,0
"47",109,16.1679595983548,6.78857765031326,0,4.50296541368752,0
"48",108,16.0667119431483,7.03004126805294,0,4.50690067026362,0
"49",107,16.2071586406433,7.27150488579262,0,4.51083592683971,0
"50",106,16.3039574391486,7.51526264400933,0,4.5929467962172,0
"51",105,16.1390442136933,7.75902040222603,0,4.67505766559469,0
"52",104,16.0656158679664,7.83112246734808,0,4.80011314367854,0
"53",103,16.0573423130448,7.90322453247012,0,4.92516862176238,0
"54",102,16.1559210568516,7.93080410003291,0,4.96812185393554,0
"55",101,16.0897487745581,7.9583836675957,0,5.01107508610869,0
"56",100,16.0671788363041,8.13459309282919,0,5.02559340384987,0
"57",99,16.2555923886973,8.31080251806268,0,5.04011172159105,0
"58",98,16.1500417633984,8.43036782783464,0,5.12864197352112,0
"59",97,16.1954073610075,8.54993313760659,0,5.21717222545119,0
"60",96,16.031517063425,8.61633118885942,0,5.24971564480907,0
"61",95,16.1942622445535,8.68272924011225,0,5.28225906416695,0
"62",94,16.1367775142064,8.80303802080756,0,5.2897895099486,0
"63",93,16.1592579704757,8.92334680150288,0,5.29731995573025,0
"64",92,16.1753713824046,8.94016895244147,0,5.37588254763614,0
"65",91,16.0362014768057,8.95699110338005,0,5.45444513954203,0
"66",90,16.0956894904124,8.99456302218101,0,5.54144726990833,0
"67",89,16.2007409851686,9.03213494098198,0,5.62844940027463,0
"68",88,16.1176753959287,9.07853158109815,0,5.82911453631925,0
"69",87,15.9949606932715,9.12492822121432,0,6.02977967236388,0
"70",86,16.1190328704502,9.12989992928336,0,6.102790150153,0
"71",85,16.1753985005414,9.1348716373524,0,6.17580062794212,0
"72",84,16.1214066136887,9.14442249230095,0,6.18883379264374,0
"73",83,16.1851047214974,9.1539733472495,0,6.20186695734537,0
"74",82,16.0202245481684,9.29515937086646,0,6.34102684005842,0
"75",81,16.190640564677,9.43634539448343,0,6.48018672277148,0
"76",80,16.095520851893,9.45420024228011,0,6.63438218654237,0
"77",79,16.0048581992289,9.47205509007678,0,6.78857765031326,0
"78",78,16.0203205153461,9.673662173611,0,7.03004126805294,0
"79",77,16.153388078316,9.87526925714522,0.001,7.27150488579262,0
"80",76,16.1980021689319,10.1135672680284,0,7.51526264400933,0
"81",75,15.9716514051628,10.3518652789115,0,7.75902040222603,0
"82",74,16.0687907564392,10.3738598863131,0,7.83112246734808,0
"83",73,16.0667096385629,10.3958544937146,0,7.90322453247012,0
"84",72,16.0444915059236,10.4536866387546,0,7.93080410003291,0
"85",71,16.19996241445,10.5115187837947,0.001,7.9583836675957,0
"86",70,16.1922694694248,10.6313412851891,0,8.25415840260115,0
"87",69,16.0128000086318,10.7511637865834,0.001,8.54993313760659,0
"88",68,16.1707444949972,10.783275879783,0.001,8.61633118885942,0
"89",67,15.9506733904768,10.8153879729826,0.002,8.68272924011225,0
"90",66,16.2551420056621,11.0688871818784,0.007,8.81986017174615,0
"91",65,15.9956590274499,11.3223863907742,0.004,8.95699110338005,0
"92",64,16.1089624074226,11.3629556877521,0.007,8.99456302218101,0
"93",63,16.1252353451164,11.40352498473,0.008,9.03213494098198,0
"94",62,15.9548073465866,11.4306280785391,0.01,9.07853158109815,0
"95",61,16.1443954577722,11.4577311723482,0.015,9.12492822121432,0
"96",60,16.2116663778674,11.4960767313105,0.015,9.29849165564555,0
"97",59,16.1923983567271,11.5344222902727,0.014,9.47205509007678,0
"98",58,16.1708892698266,11.6198162638353,0.017,9.91196018449415,0
"99",57,16.111194956485,11.705210237398,0.018,10.3518652789115,0.002
"100",56,16.2451788009616,12.5371392521916,0.076,10.3738598863131,0.003
"101",55,16.0139672452204,13.3690682669851,0.15,10.3958544937146,0
"102",54,16.0112995780442,13.4016424591529,0.154,10.4536866387546,0.001
"103",53,16.2165307961523,13.4342166513206,0.138,10.5115187837947,0
"104",52,16.106847565011,13.5414903608277,0.171,10.6313412851891,0.004
"105",51,16.0659605086576,13.6487640703348,0.157,10.7511637865834,0.004
"106",50,16.1299334001692,13.6661567156012,0.157,10.783275879783,0.004
"107",49,16.1031121741466,13.6835493608676,0.185,10.8153879729826,0.008
"108",48,16.3400277507111,13.7333196335625,0.165,11.0688871818784,0.006
"109",47,16.2481592729551,13.7830899062574,0.188,11.3223863907742,0.02
"110",46,16.2152405309937,13.9489278429003,0.196,11.3629556877521,0.018
"111",45,16.033427121506,14.1147657795432,0.252,11.40352498473,0.017
"112",44,15.9987739330101,14.180662323831,0.262,11.4306280785391,0.028
"113",43,15.9603166444855,14.2465588681188,0.274,11.4577311723482,0.033
"114",42,16.0173012862595,14.7523269870611,0.329,11.4960767313105,0.03
"115",41,16.1672071745087,15.2580951060035,0.38,11.5344222902727,0.043
"116",40,16.2231519484848,15.2759639202652,0.38,11.6198162638353,0.046
"117",39,15.9459390102568,15.2938327345268,0.415,11.705210237398,0.036
"118",38,16.090432720936,15.3792601089958,0.398,12.5371392521916,0.1
"119",37,16.2777002346242,15.4646874834647,0.413,13.3690682669851,0.181
"120",36,16.1521920336852,15.4794625540847,0.417,13.50891616866,0.195
"121",35,16.2397206587028,15.4942376247047,0.401,13.6487640703348,0.191
"122",34,16.075139986956,15.5009828500489,0.424,13.6661567156012,0.22
"123",33,15.9611494461984,15.5077280753931,0.426,13.6835493608676,0.228
