,Name_POI,Name_POI.1,Longitude,Latitude,Category,Checkin user number,Category_en
519,武汉天河国际机场停机坪, Wuhan Tianhe International Airport Helipad,114.211047,30.772056,飞机场,474,AIRPORT
151,天河国际机场2号航站楼机场贵宾厅, Tianhe International Airport 2 Terminal No. Airport VIP Lounge,114.215845,30.770534,飞机场,1522,AIRPORT
23,武汉天河机场T2航站楼, Wuhan Tianhe Airport T2 terminal,114.208497,30.769596,飞机场,5566,AIRPORT
1315,武汉天河机场南航明珠俱乐部贵宾休息室, China Southern Airlines Pearl Club VIP Lounge at Wuhan Tianhe Airport,114.211179,30.771523,飞机场,166,AIRPORT
642,武汉天河机场1号航站楼(出发), Wuhan Tianhe Airport 1 Terminal ( Set off ),114.21526,30.77451,飞机场,377,AIRPORT
1518,武汉天河机场东航贵宾休息室, China Eastern VIP Lounge at Wuhan Tianhe Airport,114.238867,30.681669,飞机场,136,AIRPORT
435,武汉天河机场1号航站楼(到达), Wuhan Tianhe Airport 1 Terminal ( arrive ),114.21525,30.77451,飞机场,580,AIRPORT
3,武汉天河机场2号航站楼(出发), Wuhan Tianhe Airport 2 Terminal ( Set off ),114.21029,30.77069,飞机场,17216,AIRPORT
53,武汉天河国际机场A候机区, Wuhan Tianhe International Airport A waiting area,114.213951,30.767366,飞机场,3369,AIRPORT
301,武汉天河机场B区候机楼, Wuhan Tianhe Airport B District Terminal,114.213217,30.773025,飞机场,831,AIRPORT
1528,赛博数码广场(汉口), Cyber Digital Plaza ( Hankou ),114.281196,30.573928,家电电子卖场,134,Appliances and electronic store
695,大智路数码港, Dazhi Road Cyberport,114.295752,30.587358,家电电子卖场,352,Appliances and electronic store
1592,武汉华中通信广场, Wuhan Huazhong Communication Plaza,114.29605,30.58773,家电电子卖场,127,Appliances and electronic store
554,武汉美术馆, Wuhan Art Museum,114.29287,30.583679,美术馆,448,Art gallery
4,楚河汉街 - 武汉中央文化区, Chu River Han Street - Wuhan Central Cultural District,114.342942,30.555776,美术馆,14494,Art gallery
282,湖北美术馆(原湖北省艺术馆), Hubei Art Museum ( Former Hubei Provincial Art Museum ),114.366035,30.564122,美术馆,884,Art gallery
401,武汉杂技厅, Wuhan Acrobatic Hall,114.27618,30.59892,文艺团体,626,Art group
943,钻石假日水疗会, Diamond Holiday Spa,114.26481,30.56892,洗浴推拿场所,254,Bathing and massage place
206,水之梦商务会馆, Water Dream Business Club,114.298,30.61984,洗浴推拿场所,1220,Bathing and massage place
565,武汉大浪淘沙假日休闲酒店, Wuhan Dalang Taosha Holiday Leisure Hotel,114.33059,30.52385,洗浴推拿场所,436,Bathing and massage place
1593,民生大厦, Minsheng Building,114.27328,30.59422,楼宇,127,Building
1303,田园商务大厦, Pastoral Business Building,114.27537,30.62019,楼宇,167,Building
1524,宝利金国际广场B座, Poly Gold International Plaza B seat,114.29257,30.5761,楼宇,135,Building
1205,美奇国际, Meiqi International,114.27715,30.57292,楼宇,186,Building
1545,建银大厦, CCB Building,114.27108,30.59685,楼宇,132,Building
1437,湖北信息产业科技大厦(珞喻路), Hubei Information Industry Technology Building ( Luo Yulu ),114.3922,30.51164,楼宇,147,Building
637,武汉世界贸易大厦, Wuhan World Trade Building,114.26858,30.58027,楼宇,381,Building
641,湖北省奥林匹克体育中心办公楼, Hubei Olympic Sports Center Office Building,114.469353,30.475173,楼宇,378,Building
1215,光谷国际, Optics Valley International,114.430036,30.504692,楼宇,184,Building
1181,水果湖广场, Fruit Lake Plaza,114.34452,30.54789,楼宇,191,Building
1283,武汉天河机场综合楼, Wuhan Tianhe Airport Complex,114.220215,30.777736,楼宇,170,Building
510,友谊大厦(友谊路), Friendship Building ( Friendship Road ),114.28005,30.57607,楼宇,480,Building
1542,中百写字楼, Zhongbai Office Building,114.28957,30.58195,楼宇,132,Building
360,泰合广场, Thai Hop Square,114.26917,30.57476,楼宇,685,Building
373,楚天传媒大厦, Chutian Media Building,114.36608,30.56727,楼宇,674,Building
1340,东风汽车公司, Dongfeng Motor Corporation,114.164179,30.5019,楼宇,161,Building
434,积玉桥万达广场, Jiyu Bridge Wanda Plaza,114.310167,30.56509,楼宇,580,Building
110,武汉国际会展中心, Wuhan International Convention and Exhibition Center,114.275453,30.582323,楼宇,1971,Building
1324,武汉科技大厦, Wuhan Science and Technology Building,114.25035,30.61199,楼宇,164,Building
1590,烽火科技大厦, FiberHome Technology Building,114.39153,30.51299,楼宇,128,Building
328,中建广场, China Construction Plaza,114.33213,30.53465,楼宇,762,Building
1302,同成广场, Tongcheng Plaza,114.26565,30.59376,楼宇,167,Building
1383,宝丰时代, Baofeng Times,114.25375,30.57833,楼宇,155,Building
472,宝利金国际广场A座, Poly Gold International Plaza A seat,114.29216,30.57633,楼宇,531,Building
147,新世界国贸大厦, New World International Trade Building,114.269613,30.594837,楼宇,1544,Building
1296,浦发银行大厦, Shanghai Pudong Development Bank Building,114.27457,30.59066,楼宇,168,Building
305,摩尔城商业, Moore City Business,114.209726,30.561644,楼宇,812,Building
1270,海天大厦, Haitian Building,114.31228,30.41907,楼宇,173,Building
1308,武汉民族商厦, Wuhan Ethnic Commercial Building,114.28774,30.57638,楼宇,167,Building
254,湖北省电视大楼, Hubei Provincial TV Building,114.32519,30.55418,楼宇,963,Building
1618,九运大厦, Jiuyun Building,114.27916,30.58961,楼宇,125,Building
686,民生银行大厦, Minsheng Bank Building,114.273403,30.594147,楼宇,355,Building
743,绿地国际金融城, Greenland International Financial City,114.32645,30.582853,楼宇,331,Building
