"id","distance_market_km"
"1","30.7041"
"2","24.2626"
"3","23.6232"
"4","37.2192"
"5","14.0488"
"6","20.4537"
"7","14.3410"
"8","34.6379"
"9","12.0765"
"10","12.0765"
"11","12.0765"
"12","11.4813"
"13","11.1213"
"14","11.4118"
"15","12.7463"
"16","10.5826"
"17","10.3078"
"18","12.7409"
"19","9.1599"
"20","9.7183"
"21","9.5474"
"22","7.9290"
"23","7.8469"
"24","7.7320"
"25","7.7320"
"26","7.7320"
"27","7.9516"
"28","7.3120"
"29","7.3368"
"30","7.3368"
"31","7.3368"
"32","7.3368"
"33","11.1071"
"34","8.2965"
"35","7.5082"
"36","7.3448"
"37","10.6900"
"38","6.4318"
"39","9.7442"
"40","13.2695"
"41","8.7729"
"42","13.2574"
"43","7.0538"
"44","6.2147"
"45","6.2147"
"46","6.3037"
"47","5.9223"
"48","7.8637"
"49","7.8637"
"50","5.5092"
"51","5.5092"
"52","5.5092"
"53","5.5092"
"54","5.8998"
"55","7.7692"
"56","7.4294"
"57","5.1917"
"58","5.1917"
"59","7.8131"
"60","7.8131"
"61","7.8131"
"62","5.1687"
"63","5.2699"
"64","5.6430"
"65","12.5146"
"66","12.5146"
"67","4.9555"
"68","9.1900"
"69","8.7181"
"70","8.7181"
"71","8.7181"
"72","8.7181"
"73","8.7179"
"74","5.5679"
"75","4.6918"
"76","7.2106"
"77","12.8797"
"78","6.0729"
"79","6.0729"
"80","6.0729"
"81","6.0729"
"82","6.0729"
"83","6.0729"
"84","5.0830"
"85","4.5591"
"86","4.5591"
"87","4.5591"
"88","7.5571"
"89","4.9422"
"90","4.5441"
"91","4.5441"
"92","4.5441"
"93","5.1987"
"94","5.1987"
"95","4.6220"
"96","4.6220"
"97","6.5914"
"98","5.9668"
"99","5.9668"
"100","5.8235"
"101","4.3044"
"102","6.8988"
"103","4.2751"
"104","5.7796"
"105","6.2330"
"106","8.2045"
"107","12.7197"
"108","4.3208"
"109","7.4146"
"110","4.6997"
"111","5.8429"
"112","5.3492"
"113","5.3492"
"114","8.2954"
"115","5.9803"
"116","7.8693"
"117","8.5303"
"118","5.2424"
"119","8.1998"
"120","8.1998"
"121","10.9697"
"122","5.1683"
"123","8.0877"
"124","8.0877"
"125","8.0311"
"126","7.2605"
"127","3.3051"
"128","3.3051"
"129","3.1023"
"130","7.6814"
"131","10.1762"
"132","7.2750"
"133","5.5987"
"134","10.4945"
"135","11.4942"
"136","2.7569"
"137","4.8425"
"138","7.5334"
"139","7.1805"
"140","2.5366"
"141","4.7519"
"142","4.0196"
"143","10.0191"
"144","7.8475"
"145","1.8850"
"146","5.9632"
"147","1.9737"
"148","10.3913"
"149","3.5000"
"150","5.0820"
"151","1.6382"
"152","5.0830"
"153","2.0221"
"154","2.0221"
"155","1.7386"
"156","7.5787"
"157","2.2070"
"158","2.2070"
"159","2.2070"
"160","2.1618"
"161","3.8918"
"162","1.4582"
"163","5.0304"
"164","8.2713"
"165","2.0813"
"166","1.9397"
"167","3.9727"
"168","2.7599"
"169","5.0016"
"170","8.5184"
"171","4.5239"
"172","2.2786"
"173","7.2706"
"174","8.1750"
"175","2.6379"
"176","2.6379"
"177","10.7180"
"178","7.4537"
"179","1.4617"
"180","1.2070"
"181","1.2203"
"182","9.7763"
"183","9.2054"
"184","10.3439"
"185","1.2283"
"186","8.2851"
"187","8.4088"
"188","8.4088"
"189","5.6800"
"190","4.9068"
"191","8.1751"
"192","8.1751"
"193","0.9013"
"194","10.7899"
"195","5.6690"
"196","2.0026"
"197","4.3411"
"198","5.4675"
"199","5.2548"
"200","4.1700"
"201","0.9634"
"202","9.2039"
"203","20.7875"
"204","30.4564"
"205","9.6340"
"206","5.4546"
"207","8.3800"
"208","3.1250"
"209","5.5913"
"210","1.1601"
"211","9.9279"
"212","4.2921"
"213","20.3771"
"214","5.3769"
"215","1.2774"
"216","9.3828"
"217","7.7462"
"218","7.7462"
"219","9.9095"
"220","3.8182"
"221","9.4635"
"222","2.7570"
"223","7.9924"
"224","3.5019"
"225","0.2006"
"226","3.4397"
"227","3.4397"
"228","5.7726"
"229","0.9271"
"230","7.7330"
"231","9.7139"
"232","9.7139"
"233","7.4172"
"234","3.0301"
"235","8.2498"
"236","5.7968"
"237","1.1774"
"238","5.1714"
"239","0.9563"
"240","4.5430"
"241","8.5017"
"242","2.2200"
"243","5.4131"
"244","1.5623"
"245","4.4112"
"246","0.8921"
"247","5.5797"
"248","1.1514"
"249","9.6245"
"250","1.7592"
"251","10.1650"
"252","5.5969"
"253","5.2240"
"254","5.5075"
"255","2.9608"
"256","0.9511"
"257","2.9446"
"258","0.8810"
"259","3.0469"
"260","9.1957"
"261","3.0251"
"262","6.0132"
"263","5.4499"
"264","15.3260"
"265","2.4198"
"266","2.5865"
"267","15.2757"
"268","5.7526"
"269","5.1682"
"270","1.9536"
"271","1.9536"
"272","1.9536"
"273","1.5733"
"274","8.3758"
"275","5.5183"
"276","9.2498"
"277","1.6288"
"278","2.8918"
"279","2.8964"
"280","2.8964"
"281","1.2866"
"282","8.6038"
"283","6.1572"
"284","6.1572"
"285","2.6685"
"286","5.6783"
"287","5.6783"
"288","7.9075"
"289","2.7640"
"290","5.1129"
"291","4.7614"
"292","1.4066"
"293","3.4954"
"294","2.6058"
"295","2.6058"
"296","4.2832"
"297","1.9607"
"298","8.0404"
"299","1.6214"
"300","1.6214"
"301","15.9185"
"302","15.4233"
"303","1.7016"
"304","13.4942"
"305","4.0846"
"306","14.9375"
"307","14.9375"
"308","5.6411"
"309","1.9076"
"310","14.8865"
"311","5.5322"
"312","5.6041"
"313","1.9173"
"314","11.4058"
"315","1.9450"
"316","2.0807"
"317","14.9304"
"318","19.6232"
"319","5.0106"
"320","4.4681"
"321","4.4020"
"322","3.2860"
"323","4.5158"
"324","4.1039"
"325","11.8747"
"326","2.3707"
"327","2.9549"
"328","2.9549"
"329","11.8659"
"330","3.8817"
"331","2.4821"
"332","4.6603"
"333","5.4715"
"334","2.5134"
"335","5.4376"
"336","5.4376"
"337","16.4244"
"338","4.5411"
"339","2.6781"
"340","2.6408"
"341","2.6408"
"342","12.6910"
"343","3.5179"
"344","4.6324"
"345","3.0783"
"346","5.6498"
"347","9.2227"
"348","3.5045"
"349","2.7930"
"350","2.7930"
"351","3.7324"
"352","3.7324"
"353","3.7324"
"354","4.5472"
"355","2.8049"
"356","4.0561"
"357","3.7169"
"358","3.9243"
"359","2.8525"
"360","2.8525"
"361","5.5508"
"362","3.5578"
"363","5.8288"
"364","3.7063"
"365","5.3882"
"366","3.4130"
"367","3.4130"
"368","4.9214"
"369","16.4180"
"370","3.2924"
"371","4.7858"
"372","4.7858"
"373","4.7858"
